appid,name,favorability,critic_score,protonDB_rating,personal_interest,completion,favorability_weighted,critic_score_weighted,protonDB_rating_weighted,personal_interest_weighted,completion_weighted,final_score
7610,Railroad Tycoon 3,0.7516705495509718,1,1,1,0.0,0.319459983559163,0.325,-1,0.15,0.0,0.794459983559163
8000,Tomb Raider: Anniversary,0.8070503440128376,1,1,1,0.025219298245614037,0.34299639620545597,0.325,-1,0.15,0.002521929824561404,0.8205183260300175
8140,Tomb Raider: Underworld,0.7544975254098222,1,0.9,1,0.0,0.3206614482991744,0.325,-1,0.15,0.0,0.7160953034692571
8190,Just Cause 2,0.9031996502201177,1,0.9,1,0.0,0.38385985134355,0.325,-1,0.15,0.0,0.7729738662091951
8340,Strong Bad Episode 1: Homestar Ruiner,0.9044645705856753,1,0.9,1,0.0,0.384397442498912,0.325,-1,0.15,0.0,0.7734576982490209
8350,Strong Bad Episode 2: Strong Badia the Free,0.7712040772176841,1,1,1,0.0,0.32776173281751575,0.325,-1,0.15,0.0,0.8027617328175157
8360,Strong Bad Episode 3: Baddest of the Bands,0.6803916324485767,1,1,1,0.0,0.2891664437906451,0.325,-1,0.15,0.0,0.7641664437906451
8370,Strong Bad Episode 4: Dangeresque 3,0.7283255295714138,1,0.9,1,0.0,0.30953835006785085,0.325,-1,0.15,0.0,0.7060845150610658
8380,Strong Bad Episode 5: 8-Bit Is Enough,0.7177558259368491,1,0.9,1,0.0,0.30504622602316084,0.325,-1,0.15,0.0,0.7020416034208448
8870,BioShock Infinite,0.9335206158570218,1,1,1,1,0.3967462617392343,0.325,-1,0.15,0.1,0.9717462617392343
8880,Freedom Force,0.5270666136263232,1,1,1,0.0,0.22400331079118738,0.325,-1,0.15,0.0,0.6990033107911874
8890,Freedom Force vs. the 3rd Reich,0.8154011724008583,1,0.75,1,0.0,0.3465454982703648,0.325,-1,0.15,0.0,0.6161591237027736
8930,Sid Meier's Civilization V,0.9550343112834124,1,0.9,1,0.14516172470442487,0.40588958229545025,0.325,-1,0.15,0.014516172470442488,0.8058651792893035
8980,Borderlands GOTY,0.893885625412175,1,0.9,1,1,0.3799013908001744,0.325,-1,0.15,0.1,0.859411251720157
9310,"Warhammer 40,000: Dawn of War - Winter Assault",0.866680465588388,1,1,1,0.0,0.36833919787506486,0.325,-1,0.15,0.0,0.843339197875065
9340,Company of Heroes: Opposing Fronts,0.9013147735649658,1,1,1,0.0,0.38305877876511046,0.325,-1,0.15,0.0,0.8580587787651105
9450,"Warhammer 40,000: Dawn of War - Soulstorm",0.9465117096117786,1,1,1,0.0,0.4022674765850059,0.325,-1,0.15,0.0,0.8772674765850059
10150,Prototype,0.7967196392082575,1,1,1,0.2181818181818182,0.3386058466635094,0.325,-1,0.15,0.02181818181818182,0.8354240284816913
11450,Overlord,0.9293440372322379,1,0.9,1,0.0,0.3949712158237011,0.325,-1,0.15,0.0,0.782974094241331
12900,Audiosurf,0.9530048122968764,1,0.9,1,0.2236770321876705,0.40502704522617244,0.325,-1,0.15,0.02236770321876705,0.8121552736004456
15100,Assassin's Creed,0.8017391105056174,1,1,1,1,0.34073912196488737,0.325,-1,0.15,0.1,0.9157391219648874
15620,"Warhammer 40,000: Dawn of War II - Anniversary Edition",0.8721456121169854,1,1,1,0.2724795640326976,0.37066188514971876,0.325,-1,0.15,0.027247956403269758,0.8729098415529885
16450,F.E.A.R. 2: Project Origin,0.840413465344038,1,1,1,0.21431305013394564,0.3571757227712162,0.325,-1,0.15,0.021431305013394564,0.8536070277846107
17020,Global Agenda,0.8245664878321459,1,0.75,1,0.04734591876674796,0.35044075732866203,0.325,-1,0.15,0.004734591876674796,0.6226315119040027
17410,Mirror's Edge,0.8737736736315835,1,1,1,0.0,0.371353811293423,0.325,-1,0.15,0.0,0.846353811293423
17460,Mass Effect (2007),0.9325078810573579,1,1,1,0.026502830984218767,0.3963158494493771,0.325,-1,0.15,0.002650283098421877,0.873966132547799
17470,Dead Space (2008),0.9153758248961218,1,1,1,0.015491866769945779,0.3890347255808517,0.325,-1,0.15,0.001549186676994578,0.8655839122578463
18000,"On the Rain-Slick Precipice of Darkness, Episode One",0.8585579534083129,1,1,1,0.0,0.36488713019853297,0.325,-1,0.15,0.0,0.839887130198533
18020,"On the Rain-Slick Precipice of Darkness, Episode Two",0.7939430617334484,1,1,1,0.0,0.33742580123671556,0.325,-1,0.15,0.0,0.8124258012367156
18700,And Yet It Moves,0.6768879393506403,1,1,1,0.0,0.2876773742240221,0.325,-1,0.15,0.0,0.7626773742240222
19980,Prince of Persia,0.7746261205402607,1,0.9,1,0.011761938367442954,0.3292161012296108,0.325,-1,0.15,0.0011761938367442955,0.7248530655597196
20540,Company of Heroes: Tales of Valor,0.9147651040593625,1,0.9,1,0.0,0.38877516922522903,0.325,-1,0.15,0.0,0.7773976523027061
20570,"Warhammer 40,000: Dawn of War II - Chaos Rising",0.8985983413319754,1,0.75,1,0.0,0.3819042950660895,0.325,-1,0.15,0.0,0.6426782212995672
20920,The Witcher 2: Assassins of Kings Enhanced Edition,0.8975688121068639,1,1,1,0,0.3814667451454172,0.325,-1,0.15,0.0,0.8564667451454172
21000,LEGO® Batman™: The Videogame,0.890180722536482,1,0.9,1,0.0,0.3783268070780048,0.325,-1,0.15,0.0,0.7679941263702044
21090,F.E.A.R.,0.9333813405417137,1,1,1,0.0,0.3966870697302283,0.325,-1,0.15,0.0,0.8716870697302284
21100,F.E.A.R. 3,0.6996917869335967,1,1,1,0.0,0.2973690094467786,0.325,-1,0.15,0.0,0.7723690094467787
21110,F.E.A.R.: Extraction Point,0.8552893633100598,1,0.75,1,0,0.3634979794067754,0.325,-1,0.15,0.0,0.6288734845550815
21120,F.E.A.R.: Perseus Mandate,0.8434711746174999,1,0.9,1,0.0,0.35847524921243745,0.325,-1,0.15,0.0,0.7501277242911937
21130,LEGO® Harry Potter: Years 1-4,0.8640894889362735,1,0.9,1,0.019201228878648235,0.3672380327979162,0.325,-1,0.15,0.0019201228878648236,0.759742340117203
22000,World of Goo,0.9383610563028758,1,1,1,0.0,0.3988034489287222,0.325,-1,0.15,0.0,0.8738034489287222
22320,The Elder Scrolls III: Morrowind,0.9501039929471945,1,1,1,0.010159697748991968,0.40379419700255764,0.325,-1,0.15,0.001015969774899197,0.8798101667774568
22330,The Elder Scrolls IV: Oblivion Game of the Year Edition (2009),0.9485021594687372,1,1,1,0.906394846413701,0.4031134177742133,0.325,-1,0.15,0.09063948464137012,0.9687529024155834
22380,Fallout: New Vegas,0.9591784908899552,1,1,1,1,0.40765085862823097,0.325,-1,0.15,0.1,0.982650858628231
22600,Worms Reloaded,0.8630839225746681,1,1,1,0.047046120623168285,0.36681066709423393,0.325,-1,0.15,0.004704612062316829,0.8465152791565508
24980,Mass Effect 2 (2010),0.937051540565018,1,0.9,1,1,0.39824690474013263,0.325,-1,0.15,0.1,0.8759222142661194
26500,Cogs,0.8607685695133782,1,0,1,0.0,0.3658266420431857,0.325,-1,0.15,0.0,0.0
26800,Braid,0.9270305169160004,1,0.9,1,0.0,0.39398796968930017,0.325,-1,0.15,0.0,0.7820891727203703
26900,Crayon Physics Deluxe,0.839432865879542,1,1,1,0.07092198581560284,0.35675896799880535,0.325,-1,0.15,0.007092198581560284,0.8388511665803657
27000,The Path,0.7625815000951188,1,0.75,1,0.02961082910321489,0.3240971375404255,0.325,-1,0.15,0.002961082910321489,0.6015436653380603
28050,Deus Ex: Human Revolution,0.9910758911162194,1,0.9,1,1,0.4212072537243932,0.325,-1,0.15,0.1,0.896586528351954
29180,Osmos,0.8415245831042271,1,1,1,0.0,0.3576479478192965,0.325,-1,0.15,0.0,0.8326479478192965
31220,Sam & Max 301: The Penal Zone,0.8740384790017479,1,0.9,1,0,0.37146635357574287,0.325,-1,0.15,0.0,0.7618197182181686
31230,Sam & Max 302: The Tomb of Sammun-Mak,0.7857180674970731,1,1,1,0,0.333930178686256,0.325,-1,0.15,0.0,0.808930178686256
31240,Sam & Max 303: They Stole Max's Brain!,0.8251276663627339,1,1,1,0,0.3506792582041619,0.325,-1,0.15,0.0,0.825679258204162
31250,Sam & Max 304: Beyond the Alley of the Dolls,0.8050790434713212,1,1,1,0,0.3421585934753115,0.325,-1,0.15,0.0,0.8171585934753115
31260,Sam & Max 305: The City that Dares not Sleep,0.8407538217792032,1,1,1,0,0.35732037425616137,0.325,-1,0.15,0.0,0.8323203742561615
31270,Puzzle Agent,0.8791748751188835,1,1,1,0.0,0.37364932192552547,0.325,-1,0.15,0.0,0.8486493219255254
31280,Poker Night at the Inventory (2010 Original Version),0.8936042766557184,1,1,1,0.0,0.3797818175786803,0.325,-1,0.15,0.0,0.8547818175786803
31290,Back to the Future: Ep 1 - It's About Time,0.8697485342551835,1,1,1,0.0,0.369643127058453,0.325,-1,0.15,0.0,0.844643127058453
32370,STAR WARS™ Knights of the Old Republic™,0.9079697388368475,1,0.9,1,0.04603044389754808,0.3858871390056602,0.325,-1,0.15,0.004603044389754808,0.7789411650558735
32380,STAR WARS™ Jedi Knight: Dark Forces II,0.7913874023157343,1,1,1,0.0,0.3363396459841871,0.325,-1,0.15,0.0,0.8113396459841872
32390,STAR WARS™ Jedi Knight: Mysteries of the Sith™,0.6338440452512399,1,1,1,0.0,0.26938371923177695,0.325,-1,0.15,0.0,0.7443837192317769
32400,STAR WARS™: Dark Forces,0.874806922716309,1,1,1,0.018080210387902692,0.3717929421544313,0.325,-1,0.15,0.0018080210387902693,0.8486009631932216
32440,LEGO® Star Wars™: The Complete Saga,0.964891955048606,1,1,1,0.1815323041738136,0.41007908089565753,0.325,-1,0.15,0.01815323041738136,0.9032323113130389
32510,LEGO® Star Wars™ III: The Clone Wars™,0.9430488985853372,1,0.9,1,0.0,0.4007957818987683,0.325,-1,0.15,0.0,0.7882162037088916
32800,The Lord of the Rings: War in the North,0.8078922761461506,1,1,1,1,0.34335421736211397,0.325,-1,0.15,0.1,0.918354217362114
33220,Tom Clancy's Splinter Cell: Conviction,0.7100271413945282,1,1,1,0,0.30176153509267445,0.325,-1,0.15,0.0,0.7767615350926745
33230,Assassin's Creed II,0.892007358747667,1,1,1,0.30871284602627885,0.3791031274677585,0.325,-1,0.15,0.030871284602627887,0.8849744120703864
33320,Prince of Persia: The Forgotten Sands,0.6900529834893574,1,1,1,0.0,0.2932725179829769,0.325,-1,0.15,0.0,0.7682725179829769
35140,Batman: Arkham Asylum GOTY Edition,0.9620184678470971,1,1,1,0.4314204314204314,0.40885784883501625,0.325,-1,0.15,0.043142043142043146,0.9269998919770595
35720,Trine 2,0.9497860270672894,1,1,1,0.6686798964624676,0.403659061503598,0.325,-1,0.15,0.06686798964624677,0.9455270511498447
38700,Toki Tori,0.8637119550298339,1,1,1,1,0.3670775808876794,0.325,-1,0.15,0.1,0.9420775808876793
38740,EDGE,0.9074664241524834,1,1,1,0.0,0.38567323026480543,0.325,-1,0.15,0.0,0.8606732302648055
40300,Risen,0.8823379731430966,1,1,1,0.0,0.374993638585816,0.325,-1,0.15,0.0,0.8499936385858161
40800,Super Meat Boy,0.9401801455844859,1,1,1,0.015567765567765568,0.3995765618734065,0.325,-1,0.15,0.0015567765567765569,0.8761333384301832
41070,Serious Sam 3: BFE,0.8782444690211699,1,0.9,1,0.0,0.3732538993339972,0.325,-1,0.15,0.0,0.7634285094005976
41100,Hammerfight,0.7101554631762785,1,0.9,1,0.0,0.3018160718499184,0.325,-1,0.15,0.0,0.6991344646649266
41500,Torchlight,0.9000120725690313,1,1,1,0.0,0.3825051308418383,0.325,-1,0.15,0.0,0.8575051308418383
41800,Gratuitous Space Battles,0.6723991584556075,1,0.5,1,0.5903866248693835,0.28576964234363317,0.325,-1,0.15,0.059038662486938356,0.40990415241528577
41900,The Bard's Tale,0.7283580828798182,1,0.75,1,0,0.3095521852239227,0.325,-1,0.15,0.0,0.588414138917942
42910,Magicka,0.8502306485432188,1,0.9,1,0.28102564102564104,0.361348025630868,0.325,-1,0.15,0.028102564102564107,0.7780055307600889
43110,Metro 2033,0.9234207623181446,1,1,1,0.06904170118751726,0.39245382398521145,0.325,-1,0.15,0.006904170118751727,0.8743579941039633
43160,Metro: Last Light Complete Edition,0.9334538545548069,1,0.9,1,0,0.3967178881857929,0.325,-1,0.15,0.0,0.7845460993672136
47780,Dead Space 2,0.9370155411912835,1,1,1,0.08260869565217391,0.39823160500629545,0.325,-1,0.15,0.00826086956521739,0.8814924745715129
48000,LIMBO,0.9205415239310547,1,1,1,0.0,0.39123014767069825,0.325,-1,0.15,0.0,0.8662301476706983
48190,Assassin's Creed Brotherhood,0.8801480387805547,1,0.9,1,0.0,0.37406291648173573,0.325,-1,0.15,0.0,0.7641566248335622
48950,Greed Corp,0.8303098972832443,1,1,1,0.0,0.35288170634537885,0.325,-1,0.15,0.0,0.8278817063453788
49470,Magic: The Gathering — Duels of the Planeswalkers 2012,0.8566028112886147,1,0.9,1,0.08462211847096585,0.3640561947976612,0.325,-1,0.15,0.008462211847096585,0.7627665659802821
49520,Borderlands 2,0.8938686928579213,1,1,1,1,0.37989419446461653,0.325,-1,0.15,0.1,0.9548941944646165
49600,Beat Hazard,0.9408137389828345,1,1,1,0.04809013465237703,0.39984583906770466,0.325,-1,0.15,0.004809013465237703,0.8796548525329423
50130,Mafia II (Classic),0.936726387729896,1,1,1,0.0,0.3981087147852058,0.325,-1,0.15,0.0,0.8731087147852058
50300,Spec Ops: The Line,0.9317611126580778,1,1,1,0.0,0.39599847287968304,0.325,-1,0.15,0.0,0.870998472879683
50620,Darksiders,0.8857398432184025,1,0.9,1,0.0,0.37643943336782104,0.325,-1,0.15,0.0,0.766295490031039
55110,Red Faction: Armageddon,0.7149054489734231,1,0.9,1,0.0,0.3038348158137048,0.325,-1,0.15,0.0,0.7009513342323344
55230,Saints Row: The Third,0.9549429426398882,1,0.9,1,0.12610646295622652,0.40585075062195247,0.325,-1,0.15,0.012610646295622653,0.8041152572258177
56400,"Warhammer 40,000: Dawn of War II - Retribution",0.8990197648414525,1,0.9,1,0.0,0.3820834000576173,0.325,-1,0.15,0.0,0.7713750600518556
57300,Amnesia: The Dark Descent,0.9434505516594082,1,1,1,0.0,0.40096648445524846,0.325,-1,0.15,0.0,0.8759664844552485
57640,Broken Sword 1 - Shadow of the Templars: Director's Cut (2009),0.9219804085003099,1,1,1,0.0,0.3918416736126317,0.325,-1,0.15,0.0,0.8668416736126318
57900,Duke Nukem Forever,0.6842816880940993,1,1,1,0.0,0.2908197174399922,0.325,-1,0.15,0.0,0.7658197174399922
58520,Blood Bowl: Legendary Edition,0.7284468463597683,1,0.9,1,0.0,0.3095899097029015,0.325,-1,0.15,0.0,0.7061309187326114
58610,Wargame: European Escalation,0.7649155695925837,1,0.9,1,0.0,0.32508911707684807,0.325,-1,0.15,0.0,0.7200802053691634
63000,HOARD,0.7844583043481772,1,0,1,0.0,0.3333947793479753,0.325,-1,0.15,0.0,0.0
63700,BIT.TRIP BEAT,0.7779857390344076,1,1,1,0.0,0.3306439390896232,0.325,-1,0.15,0.0,0.8056439390896232
63710,BIT.TRIP RUNNER,0.8458023468540848,1,0.9,1,0.0,0.35946599741298607,0.325,-1,0.15,0.0,0.7510193976716875
65800,Dungeon Defenders,0.9280881410096199,1,0.9,1,0.0,0.39443745992908846,0.325,-1,0.15,0.0,0.7824937139361796
65930,The Bureau: XCOM Declassified,0.6932226145505852,1,1,1,0.0,0.2946196111839987,0.325,-1,0.15,0.0,0.7696196111839987
67370,The Darkness II,0.911859241776034,1,1,1,0.0,0.3875401777548144,0.325,-1,0.15,0.0,0.8625401777548144
70300,VVVVVV,0.9582990675308432,1,1,1,0.0,0.4072771037006083,0.325,-1,0.15,0.0,0.8822771037006084
71000,Evochron Mercenary,0.7289148601533932,1,0.75,1,0,0.3097888155651921,0.325,-1,0.15,0.0,0.5885916116738942
72850,The Elder Scrolls V: Skyrim,0.9471682486207318,1,0.9,1,1,0.402546505663811,0.325,-1,0.15,0.1,0.87979185509743
91200,Anomaly Warzone Earth,0.8598389788622461,1,1,1,0.0,0.3654315660164546,0.325,-1,0.15,0.0,0.8404315660164546
91600,Sanctum,0.8823549541617397,1,1,1,0.37980589772303097,0.37500085551873935,0.325,-1,0.15,0.0379805897723031,0.8879814452910425
92800,SpaceChem,0.9137553704809217,1,0.9,1,0.10440562319863537,0.3883460324543917,0.325,-1,0.15,0.010440562319863539,0.7864079352968297
94200,Jamestown,0.9304118713009719,1,1,1,0.0,0.39542504530291306,0.325,-1,0.15,0.0,0.8704250453029131
94500,Back to the Future: Ep 2 - Get Tannen!,0.8333517476611362,1,1,1,0,0.35417449275598284,0.325,-1,0.15,0.0,0.8291744927559829
94510,Back to the Future: Ep 3 - Citizen Brown,0.8475531201326707,1,1,1,0,0.36021007605638505,0.325,-1,0.15,0.0,0.8352100760563851
94520,Back to the Future: Ep 4 - Double Visions,0.8300686944284675,1,1,1,0,0.3527791951320987,0.325,-1,0.15,0.0,0.8277791951320987
94530,Back to the Future: Ep 5 - OUTATIME,0.8585913843139413,1,1,1,0,0.36490133833342503,0.325,-1,0.15,0.0,0.8399013383334251
94590,Puzzle Agent 2,0.8528423623751064,1,1,1,0.0,0.3624580040094202,0.325,-1,0.15,0.0,0.8374580040094203
97000,Solar 2,0.8969121744860892,1,1,1,0.0,0.3811876741565879,0.325,-1,0.15,0.0,0.8561876741565879
98200,Frozen Synapse,0.8124653781714416,1,1,1,0.026746907388833167,0.3452977857228627,0.325,-1,0.15,0.002674690738883317,0.822972476461746
98800,Dungeons of Dredmor,0.9317012572186544,1,0.9,1,0.0,0.3959730343179281,0.325,-1,0.15,0.0,0.7838757308861354
99700,NightSky,0.8655758788656513,1,1,1,0.0,0.36786974851790183,0.325,-1,0.15,0.0,0.8428697485179019
102500,Kingdoms of Amalur: Reckoning™,0.8734780194338085,1,1,1,0.0002865165320038966,0.3712281582593686,0.325,-1,0.15,2.8651653200389662e-05,0.846256809912569
102600,Orcs Must Die!,0.954507145083464,1,1,1,0.0,0.40566553666047217,0.325,-1,0.15,0.0,0.8806655366604722
105600,Terraria,0.973631947766148,1,1,1,0.16453084274543875,0.4137935778006129,0.325,-1,0.15,0.016453084274543877,0.9052466620751568
107100,Bastion,0.9506579028317934,1,1,1,0.0,0.4040296087035122,0.325,-1,0.15,0.0,0.8790296087035122
107300,Breath of Death VII ,0.8175035405077455,1,1,1,0.0,0.34743900471579187,0.325,-1,0.15,0.0,0.8224390047157919
107310,Cthulhu Saves the World ,0.9083680975980205,1,0.9,1,0.0,0.3860564414791587,0.325,-1,0.15,0.0,0.7749507973312428
108200,Ticket to Ride,0.8459658542048023,1,0.9,1,0,0.359535488037041,0.325,-1,0.15,0.0,0.751081939233337
108800,Crysis 2 Maximum Edition,0.8475897739218953,1,1,1,0.1625,0.3602256539168055,0.325,-1,0.15,0.01625,0.8514756539168056
111900,Guardians of Middle-earth,0.22126620790711432,1,1,1,0.0,0.09403813836052359,0.325,-1,0.15,0.0,0.5690381383605236
113020,Monaco,0.8993629106038211,1,0.9,1,0.0,0.382229237006624,0.325,-1,0.15,0.0,0.7715063133059616
200260,Batman: Arkham City GOTY,0.9603033493201341,1,1,1,0.0,0.40812892346105695,0.325,-1,0.15,0.0,0.883128923461057
200510,XCOM: Enemy Unknown,0.9298459466868713,1,1,1,0.07288373726729891,0.3951845273419203,0.325,-1,0.15,0.0072883737267298914,0.8774729010686502
200710,Torchlight II,0.9240127829537902,1,1,1,1,0.3927054327553608,0.325,-1,0.15,0.1,0.9677054327553608
200900,Cave Story+,0.9234334682952815,1,0.9,1,0.0,0.3924592240254946,0.325,-1,0.15,0.0,0.7807133016229453
201310,X3: Albion Prelude,0.9120707813022754,1,0.75,1,0.0,0.387630082053467,0.325,-1,0.15,0.0,0.6469725615401003
201420,Toki Tori 2+,0.8293340693961304,1,1,1,0.0,0.3524669794933554,0.325,-1,0.15,0.0,0.8274669794933555
201790,Orcs Must Die! 2,0.9196527372729083,1,0.9,1,0.45650730411686585,0.390852413340986,0.325,-1,0.15,0.04565073041168659,0.8203528293774054
201830,Jurassic Park: The Game,0.6733536259925156,1,0.9,1,0.0,0.2861752910468191,0.325,-1,0.15,0.0,0.6850577619421372
201870,Assassin's Creed Revelations,0.8389566030584988,1,1,1,0.0,0.356556556299862,0.325,-1,0.15,0.0,0.831556556299862
202730,Dynamite Jack,0.8216772856441308,1,0,1,0.0,0.34921284639875555,0.325,-1,0.15,0.0,0.0
203160,Tomb Raider,0.9596443174082128,1,1,1,1,0.40784883489849044,0.325,-1,0.15,0.1,0.9828488348984905
204060,Superbrothers: Sword & Sworcery EP,0.7576471276914116,1,0.9,1,0.0,0.3220000292688499,0.325,-1,0.15,0.0,0.717300026341965
204120,LEGO® Harry Potter: Years 5-7,0.8808401159834094,1,1,1,0.0,0.374357049292949,0.325,-1,0.15,0.0,0.8493570492929491
204560,Confrontation,0.21842915645344355,1,0.9,1,0.0,0.09283239149271351,0.325,-1,0.15,0.0,0.5110491523434422
205100,Dishonored,0.9753142029160602,1,1,1,1,0.4145085362393256,0.325,-1,0.15,0.1,0.9895085362393257
205350,Mortal Kombat Kollection,0.5248593445246593,1,0.75,1,0.0,0.22306522142298021,0.325,-1,0.15,0.0,0.5235489160672352
205650,The Testament of Sherlock Holmes,0.7892878013399626,1,0.9,1,0.0,0.3354473155694841,0.325,-1,0.15,0.0,0.7294025840125358
205730,Insanely Twisted Shadow Planet,0.8486524307243701,1,1,1,0.0,0.3606772830578573,0.325,-1,0.15,0.0,0.8356772830578573
206190,Gunpoint,0.9725249282713745,1,1,1,0.0,0.41332309451533417,0.325,-1,0.15,0.0,0.8883230945153342
206440,To the Moon,0.9603906727277347,1,1,1,0.0,0.40816603590928724,0.325,-1,0.15,0.0,0.8831660359092873
206500,AirMech,0.8338907929769225,1,0.9,1,0,0.35440358701519203,0.325,-1,0.15,0.0,0.7464632283136728
207170,Legend of Grimrock,0.9295192711557204,1,1,1,0.3675876555178543,0.3950456902411812,0.325,-1,0.15,0.03675876555178543,0.9068044557929666
207610,The Walking Dead,0.9721133260102848,1,1,1,0.0,0.413148163554371,0.325,-1,0.15,0.0,0.888148163554371
208140,ENDLESS Space™ - Definitive Edition,0.7982055640239126,1,1,1,0.0,0.33923736471016286,0.325,-1,0.15,0.0,0.814237364710163
208480,Assassin's Creed® III,0.7298230585013563,1,0.9,1,0.0,0.31017479986307644,0.325,-1,0.15,0.0,0.7066573198767688
208580,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,0.9326730308778589,1,1,1,0.45573235414116686,0.39638603812309003,0.325,-1,0.15,0.04557323541411669,0.9169592735372069
208730,Game of Thrones ,0.7068166925642889,1,1,1,0.0,0.30039709433982276,0.325,-1,0.15,0.0,0.7753970943398228
209540,Strike Suit Zero,0.7511475782239724,1,0,1,0.03274087932647334,0.31923772074518825,0.325,-1,0.15,0.0032740879326473345,0.0
209690,Fieldrunners,0.6112778177907813,1,1,1,0.0,0.25979307256108203,0.325,-1,0.15,0.0,0.7347930725610821
209730,RAW - Realms of Ancient War,0.47568021102542324,1,0.9,1,0.0,0.20216408968580488,0.325,-1,0.15,0.0,0.6094476807172244
209790,Splice,0.8448886774019804,1,0.9,1,0.0,0.35907768789584166,0.325,-1,0.15,0.0,0.7506699191062576
